0,1,2,3,4,5,6,7
0.64894193,-0.35162047,-1.3926985,-0.7008976,0.09355475,-0.13658856,0.62399215,-1.5288512
0.1740193,-0.22597171,-0.5900338,-0.38699284,0.005326834,-0.120675,0.07595667,0.4817547
0.30815652,-0.83018017,1.0679582,0.044523504,-0.02208096,0.04458405,-0.7688352,0.19941911
2.0523968,1.0121408,-0.2958459,1.2899666,0.22920388,1.0958848,2.0263777,-0.001056463
-0.5191986,-1.2571434,0.27231646,-0.44052735,-0.047653496,-0.35374475,-0.7897535,-1.7855852
0.6609078,-1.3323472,2.1386395,0.33437404,0.7689778,0.006436482,0.74170977,0.09944555
-0.19807285,1.49053,-0.8522578,-0.69784075,-0.69266206,0.14363562,-0.10533966,0.338834
-1.2912248,0.42181674,0.77947843,-0.562268,-0.100028515,-0.062622815,-0.17561609,-0.18540402
-0.6913864,0.5530917,-0.6068995,-1.0473487,-0.5266956,-0.21070085,-0.48331732,-1.3390892
-0.43471175,-1.3027954,-0.86692923,-0.83181727,-0.30126783,0.2210035,-0.35282254,0.88777286
-0.3388127,-0.5829906,0.7008112,-0.35632774,0.1933788,0.09687462,-0.43467534,0.118636504
0.75968826,-0.10537412,-1.3876443,0.15900022,0.4198699,0.61859345,1.1655612,-0.05261711
1.3058434,1.0934238,0.44747093,1.0221211,-0.2296528,0.4870705,-0.11123496,0.65867
-0.15491256,0.28721446,-0.5158044,-1.0989139,0.18099761,0.06632662,-1.3832316,1.1371614
-0.73436254,-0.6692896,-0.7276526,-0.39620316,-0.3554322,0.033195883,-0.38332263,0.37565118
-0.85235834,1.6149888,-0.016965691,0.017020658,0.014834706,-0.2579494,-0.8705671,-0.47794354
-0.35340753,-0.43508986,0.42733487,0.37960902,0.054483213,-0.22385825,-0.690675,-0.5446739
-1.3407176,0.35949346,2.0453098,-0.94794464,-0.30233106,-0.24822761,-0.85077274,1.235236
-0.5800685,-0.5303113,1.7697186,-0.65503585,-0.3056403,-0.26610875,0.13304293,-0.18831648
-0.14352898,-0.029009018,-1.0518303,0.26775044,0.014160696,-0.62318313,1.240545,-0.51641893
-0.5085858,-1.2820123,-0.43042958,-0.5324472,0.2451795,-0.072700374,-0.5993955,-0.7461525
-0.73965764,-0.35512197,0.17278007,-0.29679635,0.34305337,-0.014404945,-0.9342919,0.40178603
-0.036360983,1.7044816,-0.100716785,0.49902862,0.23389302,-0.30151904,0.084796496,-0.2606386
0.3590599,0.5229794,0.8717162,0.60839623,0.30161452,-0.87025976,-0.14911796,2.2709224
-0.55290633,-0.07551965,-0.39131123,-0.4865777,-0.30399153,-0.56582665,-0.06439686,-0.07276205
-0.20419201,-1.6771991,1.0587462,-0.6091995,0.10524861,-0.42749324,-0.41755354,-0.4431885
-0.71878034,0.004866558,0.37740588,-0.6958818,0.1660427,0.116214216,0.3224845,-1.3042752
-0.14458129,-0.622275,-1.1220437,-0.2727355,-0.03815789,-0.4270391,-0.27391535,1.0045946
0.13714822,1.4313525,-0.71076,-0.77864873,0.000231007,-0.21633385,-0.32134324,-0.8917267
-0.16697766,0.29458287,0.19711939,-1.3967208,-0.4040672,-0.39042196,0.30914846,-1.2986584
-0.4192076,-0.047186453,-3.1617558,0.01123156,0.11307311,-0.46101606,-0.54928267,-0.89976984
1.0531055,1.8874644,-0.23069718,0.099966094,-1.1712238,-0.0362288,1.7538542,2.2137477
-0.25960645,-2.1903865,0.62224424,0.32109287,-0.5959496,-0.050006147,-0.107510045,-1.5361809
-0.83301824,-1.4539241,1.2192212,0.022904947,-0.17772123,-0.14454684,-0.09190116,-0.00145133
-0.6185652,-0.7800232,-0.38896608,-0.47131506,-0.040888734,0.11357692,-1.3366649,0.006730355
-0.35974112,-1.2354026,-0.44104758,0.571499,-0.22202912,0.18293315,-1.2648375,-0.54388595
-0.99405754,0.5719306,-0.5847365,-0.5291397,-0.49004975,-0.12801176,0.16333543,-0.69986963
0.30937672,-0.24510068,0.15588653,0.18522874,0.66075444,-0.19450825,0.89387035,0.37170202
-0.02509743,0.69213784,-1.1363087,-0.94754624,-0.5188216,-0.0608571,0.23056334,0.3151996
-0.120216586,-1.3083495,-1.1334306,0.39459637,0.18686248,-0.2060836,-0.9612977,-0.009604387
-1.132842,-1.4304359,0.17366722,-0.113768205,-0.32174012,-0.080060884,-0.80035174,-0.0653481
-0.42429188,-2.6522207,-0.40648597,0.3566885,-0.45881194,-0.15749943,-1.5661079,2.1720912
-0.023193885,1.2166082,0.30215207,0.22456633,-0.21481225,-0.034693927,0.08209724,0.3925931
-0.9838352,-0.55528396,-1.6643381,0.4829896,-0.2029442,0.11985776,-0.7987077,-0.30527058
0.15286173,0.62140703,0.21911441,-0.50066316,-0.52241546,-0.4814306,-0.41538176,-0.4180208
-0.5762928,-0.25747347,0.8862566,-0.45287845,-0.5434998,-0.37123144,-0.22451189,-1.3348695
-0.30655625,-0.13398129,-0.4934243,-0.29363033,-0.22278164,-0.36710393,0.5875398,1.2337164
-0.13146295,-1.3827242,-0.5537521,-0.09518908,-0.42158034,0.15066734,-0.3310022,-0.02831063
0.4547939,0.2634824,0.034596708,0.35039273,0.53529644,0.31905517,-0.22865894,-0.60632366
0.6544901,-1.4115918,0.022868846,-0.49941197,-0.2730833,0.7714113,0.69525754,-0.2110771
0.15371811,0.40311384,0.29589579,-0.0506041,-0.38095742,0.018594973,0.013922244,0.28804186
0.55789775,0.3747067,-0.60305375,-0.17070399,-0.7245557,-0.030168582,0.010093916,0.8527862
-0.66082597,-1.9781601,0.8236228,-1.1476878,-0.3248244,-0.36054063,-0.57866216,-0.1008454
-0.4501568,2.1310294,-1.2927284,-0.19919631,-0.42541125,-0.17694986,-0.08476389,-0.1734973
-0.4116168,-0.27894977,0.8908236,-0.17644712,-0.12473239,0.15707201,-0.60933065,-1.2403008
-0.25225952,0.30496275,-0.46131405,-0.33289,-0.296234,0.18948738,0.13461557,0.058412824
-1.395198,1.0585023,1.6356462,-1.2317243,-0.5320783,-0.26275578,-0.68895924,-0.031499088
1.2211123,-0.61882585,0.8153879,1.0119691,0.6235177,-0.38671687,0.35304475,1.0204093
-0.19302,-0.83422816,-0.42776668,-0.3251034,0.5222985,-0.29722607,0.95402265,-0.28742057
1.3421956,0.4155628,-0.12754323,-1.665968,-0.7223499,0.31746247,0.9614061,-0.12756243
-0.60114276,0.044287894,0.51682913,-0.2491802,-0.2945465,-0.39491802,-1.4366386,-0.98853123
-0.5190688,-0.45454034,-0.47002897,-0.63366777,-0.53478366,-0.27353117,-1.1956348,-1.9407483
-0.002194502,0.23225847,0.2581864,-1.0772449,1.0636388,-0.1939533,-0.17686489,0.71905833
-0.16857108,-0.17878002,-0.41197643,0.42486024,0.04568308,0.01134342,-1.2179512,-0.29752317
0.5316392,-0.7646911,-1.0887177,0.48698458,-0.7456886,1.1201354,-0.5725989,0.2883886
-0.36415505,-0.34421983,0.43507215,-0.87494195,-0.2828079,0.06830014,-0.114648156,0.7182065
-0.53135544,0.5871679,0.26277372,-0.56209826,-0.13734531,-0.34352157,0.6500894,1.013912
-0.50727975,-0.015821574,-0.060424283,-0.52395564,0.17393121,-0.19437182,0.09822954,0.1007629
-0.6047265,0.31615075,0.68486756,-0.69434905,0.04908516,0.002458312,-1.6870494,-0.9973518
